team_index,season_id,team_id,team_name,ch_id
1,18,t1801,Champions,2355
2,18,t1801,Champions,2310
3,18,t1801,Champions,2172
4,18,t1801,Champions,2338
5,18,t1801,Champions,2403
6,18,t1801,Champions,2379
7,18,t1801,Champions,2387
8,18,t1801,Champions,2389
9,18,t1801,Champions,2395
10,18,t1801,Champions,2397
11,18,t1801,Champions,2174
12,18,t1801,Champions,2359
13,18,t1801,Champions,2399
14,18,t1801,Champions,2312
15,18,t1802,Challengers,2381
16,18,t1802,Challengers,2147
17,18,t1802,Challengers,2383
18,18,t1802,Challengers,2231
19,18,t1802,Challengers,2385
20,18,t1802,Challengers,2349
21,18,t1802,Challengers,2214
22,18,t1802,Challengers,2266
23,18,t1802,Challengers,2277
24,18,t1802,Challengers,2401
25,18,t1802,Challengers,2405
26,18,t1802,Challengers,2361
27,18,t1802,Challengers,2168
28,18,t1802,Challengers,2204
29,20,t2001,Red,2224
30,20,t2001,Red,2231
31,20,t2001,Red,2351
32,20,t2001,Red,2349
33,20,t2001,Red,2241
34,20,t2001,Red,2336
35,20,t2001,Red,2272
36,20,t2001,Red,2204
37,20,t2001,Red,2296
38,20,t2001,Red,2212
39,20,t2002,Grey,2361
40,20,t2002,Grey,2306
41,20,t2002,Grey,2216
42,20,t2002,Grey,2275
43,20,t2002,Grey,2147
44,20,t2002,Grey,2357
45,20,t2002,Grey,2287
46,20,t2002,Grey,2353
47,20,t2002,Grey,2198
48,20,t2002,Grey,2267
49,20,t2003,Blue,2206
50,20,t2003,Blue,2342
51,20,t2003,Blue,2172
52,20,t2003,Blue,2332
53,20,t2003,Blue,2247
54,20,t2003,Blue,2355
55,20,t2003,Blue,2243
56,20,t2003,Blue,2359
57,20,t2003,Blue,2145
58,20,t2003,Blue,2235
59,21,t2101,A,2277
60,21,t2101,A,2170
61,21,t2102,B,2220
62,21,t2102,B,2304
63,21,t2103,C,2235
64,21,t2103,C,2212
65,21,t2104,D,2224
66,21,t2104,D,2145
